ConvASH30 参数量: 29.55M
加载预训练缓存...
样本数: 1270225, batch=32, steps=39695
SFT 0/28304 loss=10.097 (1s, 909ms/step)
SFT 250/28304 loss=1.177 (134s, 535ms/step)
SFT 500/28304 loss=0.203 (276s, 550ms/step)
SFT 750/28304 loss=0.102 (408s, 543ms/step)
SFT 1000/28304 loss=0.067 (546s, 546ms/step)
SFT 1250/28304 loss=0.029 (688s, 550ms/step)
SFT 1500/28304 loss=0.033 (824s, 549ms/step)
SFT 1750/28304 loss=0.027 (967s, 552ms/step)
SFT 2000/28304 loss=0.015 (1099s, 549ms/step)
SFT 2250/28304 loss=0.030 (1232s, 547ms/step)
SFT 2500/28304 loss=0.015 (1372s, 549ms/step)
SFT 2750/28304 loss=0.007 (1508s, 548ms/step)
SFT 3000/28304 loss=0.009 (1651s, 550ms/step)
SFT 3250/28304 loss=0.003 (1783s, 548ms/step)
SFT 3500/28304 loss=0.002 (1924s, 550ms/step)
SFT 3750/28304 loss=0.005 (2068s, 551ms/step)
SFT 4000/28304 loss=0.004 (2201s, 550ms/step)
SFT 4250/28304 loss=0.001 (2345s, 552ms/step)
SFT 4500/28304 loss=0.022 (2481s, 551ms/step)
SFT 4750/28304 loss=0.010 (2623s, 552ms/step)
SFT 5000/28304 loss=0.001 (2759s, 552ms/step)
SFT 5250/28304 loss=0.010 (2894s, 551ms/step)
